City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,choyr,46.3611,108.3611,-31.83,88,3,2.92,MN,1708268131
150,port blair,11.6667,92.75,27.02,65,38,3.6,IN,1708268132
151,port mathurin,-19.6833,63.4167,26.61,72,11,7.27,MU,1708268133
152,longyearbyen,78.2186,15.6401,-13.09,66,75,5.14,SJ,1708268134
153,mhamid,29.82,-5.72,22.44,25,0,10.67,MA,1708268135
154,savsat,41.2403,42.3611,1.92,91,99,1.7,TR,1708268136
155,holualoa,19.6228,-155.9522,18.77,86,67,1.11,US,1708268137
156,coquimbo,-29.9533,-71.3436,17.85,88,100,3.6,CL,1708268138
157,hithadhoo,-0.6,73.0833,28.56,78,100,5.1,MV,1708268139
158,olonets,60.9847,32.9698,-7.21,90,87,3.23,RU,1708268140
159,n'zeto,-7.2312,12.8666,30.4,67,76,5.38,AO,1708268141
160,huarmey,-10.0681,-78.1522,25.92,77,47,3.54,PE,1708268142
161,yanam,16.7333,82.2167,23.09,76,2,2.35,IN,1708268143
162,utrik,11.2278,169.8474,26.19,85,81,6.73,MH,1708268144
163,derbent,42.0678,48.2899,1.74,66,82,2.34,RU,1708268018
164,saipan,15.1355,145.701,26.02,81,22,7.36,MP,1708268108
165,sept-iles,50.2001,-66.3821,-12.75,50,75,5.14,CA,1708268147
166,conde,-7.2597,-34.9075,31.7,66,75,4.63,BR,1708268148
167,carnarvon,-24.8667,113.6333,26.73,76,74,1.85,AU,1708268149
168,port macquarie,-31.4333,152.9167,22.72,86,100,2.55,AU,1708268152
169,ceyhan,37.0247,35.8175,18.19,77,8,2.34,TR,1708268153
170,ribeira grande,38.5167,-28.7,19.22,68,20,5.36,PT,1708267942
171,vila do maio,15.1333,-23.2167,30.44,77,0,6.99,CV,1708268154
172,ha'il,27.5219,41.6907,18.01,29,0,2.06,SA,1708268156
173,georgetown,5.4112,100.3354,29.97,79,20,1.54,MY,1708268080
174,punta arenas,-53.15,-70.9167,14.06,58,0,7.2,CL,1708268158
175,aoulef,26.9667,1.0833,22.69,26,64,9.08,DZ,1708268111
176,avarua,-21.2078,-159.775,25.03,73,98,3.09,CK,1708268160
177,tacuarembo,-31.7333,-55.9833,30.06,49,33,3.46,UY,1708268161
178,olonkinbyen,70.9221,-8.7187,-0.3,88,47,4.04,SJ,1708268162
179,talara,-4.5772,-81.2719,28.42,69,0,6.17,PE,1708268163
180,ta`u,-14.2336,-169.5144,28.22,82,96,10.87,AS,1708268164
181,kibre mengist,5.8833,38.9833,27.45,28,73,1.31,ET,1708268166
182,as sulayyil,20.4607,45.5779,27.14,25,82,5.67,SA,1708268167
183,valparaiso,-33.0393,-71.6273,26.75,76,100,3.6,CL,1708268167
184,tuxpan,19.55,-103.4,14.75,75,0,2.19,MX,1708268169
185,floro,61.5996,5.0328,3.04,87,75,6.69,NO,1708268170
186,mawlaik,23.6333,94.4167,18.75,48,0,0.5,MM,1708268171
187,tadine,-21.55,167.8833,25.21,77,100,5.63,NC,1708268172
188,northam,51.0333,-4.2167,10.77,99,82,4.46,GB,1708268173
189,lodja,-3.4833,23.4333,24.01,95,94,0.75,CD,1708268174
190,urucara,-2.5364,-57.76,28.42,78,95,2.43,BR,1708268175
191,lazaro cardenas,17.9583,-102.2,23.4,68,0,0.99,MX,1708267998
192,puerto ayora,-0.7393,-90.3518,27.98,100,42,1.34,EC,1708268177
193,villa gesell,-37.2639,-56.973,25.03,79,100,3.74,AR,1708267934
194,molochnoye,59.2917,39.6787,-3.15,91,100,4.92,RU,1708268179
195,darab,28.7519,54.5444,14.69,20,0,2.03,IR,1708268180
196,kyzyl-mazhalyk,51.1333,90.6,-23.94,89,100,0.89,RU,1708268180
197,marovoay,-16.1,46.6333,27.66,82,100,3.24,MG,1708268181
198,kepno,51.2784,17.9891,8.22,57,100,3.08,PL,1708268183
199,hermanus,-34.4187,19.2345,28.22,41,0,9.31,ZA,1708268184
200,lebu,-37.6167,-73.65,16.51,67,0,9.03,CL,1708268184
201,dingcheng,32.1272,115.0394,13.34,70,100,3.81,CN,1708268184
202,phrae,18.0833,100.0,24.68,44,0,1.32,TH,1708267987
203,selfoss,63.9331,-20.9971,4.47,98,98,2.73,IS,1708268187
204,gorontalo,0.5412,123.0595,23.33,93,99,1.69,ID,1708267943
205,arba minch,6.0333,37.55,29.22,40,98,1.4,ET,1708268189
206,geraldton,-28.7667,114.6,30.23,23,99,2.06,AU,1708268191
207,crane,31.3974,-102.3501,1.66,45,40,1.95,US,1708268192
208,carutapera,-1.195,-46.02,27.65,90,91,4.82,BR,1708268193
209,nogliki,51.8333,143.1667,-13.14,95,100,4.02,RU,1708268194
210,daru,-9.0763,143.2092,27.42,82,60,1.33,PG,1708268195
211,santa helena de goias,-17.8136,-50.5969,28.34,65,98,4.38,BR,1708268196
212,thunder bay,48.4001,-89.3168,-7.01,58,75,6.69,CA,1708268197
213,aitape,-3.1374,142.3475,26.33,89,100,2.51,PG,1708268198
214,dunedin,-45.8742,170.5036,16.87,48,100,3.55,NZ,1708267804
215,warrnambool,-38.3833,142.4833,14.31,87,13,3.21,AU,1708268135
216,ropazi,56.9739,24.6336,1.97,81,12,1.72,LV,1708268201
217,caconda,-13.7333,15.0667,24.24,61,96,3.26,AO,1708268202
218,markovo,57.3206,107.0881,-34.3,100,92,1.25,RU,1708268202
219,east london,-33.0153,27.9116,24.52,73,100,5.14,ZA,1708268115
220,rethymno,35.3647,24.4714,15.67,70,56,4.79,GR,1708268204
221,zahedan,29.4963,60.8629,19.95,40,40,9.77,IR,1708268206
222,hilo,19.7297,-155.09,20.16,84,46,1.34,US,1708268207
223,rio grande,-32.035,-52.0986,28.3,76,21,6.59,BR,1708268208
224,taunsa,30.7048,70.6505,18.29,33,100,5.08,PK,1708268210
225,rongelap,11.1635,166.8941,26.33,80,72,6.84,MH,1708268211
226,marsabit,2.3284,37.9899,30.35,26,99,4.03,KE,1708268212
227,nemuro,43.3236,145.575,0.08,86,2,6.84,JP,1708268214
228,luderitz,-26.6481,15.1594,22.98,61,0,9.27,NA,1708268216
229,xam nua,20.4197,104.0439,18.93,40,0,1.86,LA,1708268216
230,porto novo,6.4965,2.6036,32.9,55,13,5.18,BJ,1708268217
231,bandon,51.7469,-8.7425,13.77,74,80,4.32,IE,1708268218
232,altinopolis,-21.0256,-47.3739,26.64,38,1,3.58,BR,1708268219
233,horta,38.5333,-28.6333,18.8,78,20,4.63,PT,1708268221
234,taoudenni,22.6783,-3.9836,28.29,15,0,8.86,ML,1708268222
235,murzuq,25.9155,13.9184,24.41,13,4,5.98,LY,1708268223
236,yangambi,0.8102,24.4336,26.94,66,100,1.71,CD,1708268224
237,iskateley,67.6803,53.1512,-9.99,93,100,10.73,RU,1708268225
238,vilyuchinsk,52.9306,158.4028,-12.85,68,67,4.5,RU,1708268226
239,benalla,-36.55,145.9833,17.39,52,100,2.88,AU,1708268227
240,anadyr,64.75,177.4833,-11.72,67,20,19.0,RU,1708268228
241,frederico westphalen,-27.3592,-53.3944,29.02,49,0,2.17,BR,1708268229
242,tolanaro,-25.0319,46.9987,25.04,88,75,9.26,MG,1708268230
243,ras el aioun,35.6738,5.6453,14.32,55,78,4.6,DZ,1708268073
244,tosontsengel,48.7567,98.2839,-37.61,94,33,1.24,MN,1708268232
245,kapuskasing,49.4169,-82.4331,-13.95,85,100,5.14,CA,1708268233
246,magistral'nyy,56.1725,107.4458,-32.17,100,100,1.26,RU,1708268234
247,college,64.8569,-147.8028,-20.3,48,67,1.12,US,1708268234
248,coruripe,-10.1256,-36.1756,29.82,70,97,4.47,BR,1708268236
249,sirte,31.2089,16.5887,17.05,65,100,6.71,LY,1708268237
250,ballina,-28.8667,153.5667,20.99,83,15,0.89,AU,1708268238
251,coffs harbour,-30.3,153.1333,22.98,88,93,1.54,AU,1708268238
252,howrah,22.5892,88.3103,24.0,78,1,3.09,IN,1708267963
253,canutama,-6.5339,-64.3831,28.04,74,98,1.17,BR,1708268240
254,saint-joseph,-21.3667,55.6167,26.21,77,83,6.5,RE,1708268241
255,afaahiti,-17.75,-149.2833,25.93,79,72,5.85,PF,1708268242
256,qeshm,26.9581,56.2719,23.94,53,0,13.42,IR,1708268243
257,amungan,15.3652,119.9582,25.05,76,0,2.33,PH,1708268244
258,al ghayzah,16.2079,52.176,24.75,67,10,5.14,YE,1708268245
259,harstad,68.799,16.5293,-1.34,94,100,6.71,NO,1708268246
260,chernyshevskiy,63.0128,112.4714,-31.95,96,100,3.68,RU,1708268247
261,richards bay,-28.783,32.0377,25.17,71,77,5.55,ZA,1708268248
262,nova sintra,14.8667,-24.7167,20.62,80,0,10.93,CV,1708268250
263,saynshand,44.8824,110.1163,-24.78,79,9,4.87,MN,1708268252
264,malpica,43.3228,-8.8105,16.08,82,100,2.8,ES,1708268253
265,fale old settlement,-9.3852,-171.2468,28.71,77,100,5.49,TK,1708268254
266,seven pagodas,12.6264,80.1722,27.27,67,38,4.07,IN,1708268255
267,hammerfest,70.6634,23.6821,-2.75,86,40,9.77,NO,1708268098
268,sisimiut,66.9395,-53.6735,-13.97,94,100,3.38,GL,1708268075
269,dubovka,49.0583,44.829,-4.47,85,100,4.0,RU,1708268258
270,alor gajah,2.3804,102.2089,28.23,78,20,3.09,MY,1708268259
271,kasempa,-13.4584,25.8338,26.79,51,100,1.17,ZM,1708268260
272,poronaysk,49.2167,143.1167,-4.55,97,100,0.84,RU,1708268261
273,tralee,52.2704,-9.7026,13.14,76,40,6.17,IE,1708268265
274,kununurra,-15.7667,128.7333,24.99,94,100,2.57,AU,1708268266
275,argo,37.6333,22.7333,16.55,50,0,1.67,GR,1708268267
276,letlhakane,-21.4167,25.5833,37.64,17,63,3.5,BW,1708268268
277,constanza,47.6603,9.1758,14.31,88,100,1.34,DE,1708268268
278,senador guiomard,-10.1522,-67.7392,28.86,57,74,2.44,BR,1708268270
279,mount pearl,47.5166,-52.7813,-1.97,97,100,15.43,CA,1708268271
280,miles city,46.4083,-105.8406,-8.83,86,100,0.72,US,1708268271
281,guiuan,11.0333,125.7247,27.31,74,33,8.06,PH,1708268273
282,sakaiminato,35.55,133.2333,11.99,82,40,2.06,JP,1708268009
283,ristiina,61.5058,27.2464,-4.94,88,6,3.11,FI,1708268274
284,lata,40.1629,-8.3327,19.4,48,100,1.74,PT,1708268275
285,pinarbasi,38.7229,36.3931,3.48,67,98,3.07,TR,1708268276
286,middelburg,-25.7751,29.4648,21.6,63,94,5.59,ZA,1708268277
287,tsimlyansk,47.6461,42.1019,1.8,62,95,1.53,RU,1708268279
288,mar del plata,-38.0023,-57.5575,26.4,84,75,2.24,AR,1708268280
289,saham,24.1722,56.8886,26.11,38,39,7.4,OM,1708268109
290,faratsiho,-19.4,46.95,15.92,93,100,4.25,MG,1708268281
291,campbell river,50.0163,-125.2446,4.74,100,100,0.0,CA,1708268283
292,yaren,-0.5472,166.916,28.92,75,100,4.05,NR,1708268284
293,kittila,67.6647,24.8936,-5.92,73,0,4.63,FI,1708268285
294,manturovo,58.3353,44.7619,-7.34,97,100,1.55,RU,1708267994
295,tiksi,71.6872,128.8694,-36.18,98,82,2.69,RU,1708268189
296,alvaraes,-3.2208,-64.8042,27.93,51,43,2.52,BR,1708268288
297,cestos city,5.46,-9.5828,29.27,72,100,4.58,LR,1708268290
298,pembroke,45.8168,-77.1162,-4.9,79,99,5.02,CA,1708268291
299,port-gentil,-0.7193,8.7815,28.53,78,96,4.4,GA,1708268292
300,pemangkat,1.1667,108.9667,26.25,87,100,2.43,ID,1708268294
301,bontang,0.1333,117.5,26.76,82,86,5.79,ID,1708268294
302,motueka,-41.1333,173.0167,13.94,63,0,2.56,NZ,1708268295
303,keflavik,64.0049,-22.5624,7.24,87,75,6.17,IS,1708268296
304,indianola,41.3581,-93.5574,-0.61,64,1,2.24,US,1708268297
305,santana,-0.0583,-51.1817,28.1,83,100,3.6,BR,1708268298
306,dzidzantun,21.25,-89.05,20.68,94,100,2.81,MX,1708268299
307,mount gambier,-37.8333,140.7667,12.75,93,8,2.51,AU,1708268301
308,celestun,20.8667,-90.4,21.88,81,100,10.37,MX,1708268302
309,antsiranana,-12.2787,49.2917,29.42,79,75,8.23,MG,1708268303
310,berdigestyakh,62.0989,126.6992,-38.14,100,100,1.15,RU,1708268304
311,guayaramerin,-10.8368,-65.3614,29.03,79,40,2.06,BO,1708268305
312,masterton,-40.9597,175.6575,17.28,86,16,3.33,NZ,1708268306
313,touros,-5.1989,-35.4608,31.26,62,47,4.8,BR,1708268307
314,hasaki,35.7333,140.8333,11.27,69,57,7.38,JP,1708268141
315,capurso,41.0469,16.9216,15.98,72,0,3.09,IT,1708268047
316,kalix,65.853,23.1565,-14.38,95,20,2.1,SE,1708268309
317,quellon,-43.1167,-73.6167,15.5,63,78,4.95,CL,1708268310
318,la sarre,48.8002,-79.1996,-10.43,89,100,5.19,CA,1708268311
319,nguigmi,14.2495,13.1092,28.93,14,80,2.44,NE,1708268312
320,tanjung pandan,-2.75,107.65,25.84,89,83,1.79,ID,1708268314
321,saint-valery-en-caux,49.8667,0.7333,12.09,98,100,7.61,FR,1708268316
322,san patricio,28.017,-97.5169,7.15,48,0,5.17,US,1708268317
323,mogadishu,2.0371,45.3438,28.93,84,20,7.72,SO,1708268318
324,mohelnice,49.777,16.9195,7.19,61,100,1.11,CZ,1708268318
325,chigorodo,7.6664,-76.6811,29.89,79,40,1.03,CO,1708268319
326,wau,7.7029,27.9953,36.96,10,30,3.59,SS,1708268320
327,remire-montjoly,4.9167,-52.2667,30.02,66,75,7.72,GF,1708268321
328,kamaishi,39.2667,141.8833,8.88,80,0,2.82,JP,1708268322
329,bahia blanca,-38.7196,-62.2724,25.8,38,5,4.62,AR,1708268323
330,vorkuta,67.5,64.0,-15.53,95,100,9.97,RU,1708268325
331,glencoe,-28.1783,30.147,25.63,55,13,5.91,ZA,1708268325
332,jianshui,23.6363,102.8264,13.95,34,0,1.92,CN,1708268326
333,kailua-kona,19.6406,-155.9956,20.84,86,76,1.28,US,1708268327
334,churachandpur,24.3333,93.6667,10.77,57,0,0.93,IN,1708268328
335,cooper's town,26.8667,-77.5167,23.32,78,100,2.59,BS,1708268329
336,timimoun,29.2639,0.231,22.21,30,20,6.17,DZ,1708268330
337,port isabel,26.0734,-97.2086,6.7,78,75,4.02,US,1708268331
338,springs,-26.25,28.4,30.79,61,77,2.86,ZA,1708268332
339,ust-nera,64.5667,143.2,-35.67,95,100,0.66,RU,1708268333
340,zakamensk,50.3741,103.2863,-30.24,98,62,0.64,RU,1708268334
341,antofagasta,-23.65,-70.4,22.6,67,98,2.43,CL,1708268323
342,bikenibeu village,1.3673,173.1241,27.98,89,75,2.57,KI,1708268336
343,esme,38.3998,28.969,9.5,46,6,4.8,TR,1708268337
344,gamba,-2.65,10.0,29.99,69,88,4.3,GA,1708268338
345,preobrazheniye,42.9019,133.9064,2.61,96,100,1.69,RU,1708268339
346,haiku-pauwela,20.9219,-156.3051,19.47,85,66,3.58,US,1708268339
347,mzimba,-11.9,33.6,22.54,83,97,2.13,MW,1708268340
348,bel ombre,-4.6167,55.4167,29.91,74,40,7.72,SC,1708268341
349,alexandria,31.2156,29.9553,15.3,67,30,5.98,EG,1708268255
350,saltpond,5.2091,-1.0606,29.94,71,49,6.29,GH,1708268343
351,maslovka,51.5535,39.2357,-1.69,98,100,4.16,RU,1708268344
352,praia da vitoria,38.7333,-27.0667,18.14,77,20,3.29,PT,1708268345
353,mbanza-ngungu,-5.25,14.8667,27.97,71,97,1.91,CD,1708268346
354,el galpon,-25.3807,-64.6526,30.95,49,97,1.55,AR,1708268347
355,tondano,1.3038,124.9112,20.05,87,64,0.94,ID,1708268348
356,reggane,26.7158,0.1714,23.1,27,64,8.38,DZ,1708268349
357,kendari,-3.945,122.4989,24.95,93,57,1.31,ID,1708268270
358,poli,-3.3333,36.8,32.15,33,40,3.09,TZ,1708268351
359,tofol,5.3248,163.0078,28.39,74,83,4.16,FM,1708268352
360,happy valley-goose bay,53.3168,-60.3315,-12.83,85,100,3.09,CA,1708268354
361,philadelphia,39.9523,-75.1638,1.76,49,52,0.89,US,1708268112
